,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50,Glance-MD-50-55,Glance-MD-50-60,Glance-MD-50-65,Glance-MD-50-70,Glance-MD-50-75,Glance-MD-50-80,Glance-MD-50-85,Glance-MD-50-90,Glance-MD-50-95,Glance-MD-50-100
amq-5.12.0,0.454,0.601,0.689,0.733,0.784,0.839,0.86,0.887,0.911,0.925,0.93,0.937,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945
amq-5.14.0,0.511,0.658,0.732,0.797,0.825,0.842,0.879,0.898,0.915,0.927,0.932,0.944,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
amq-5.15.0,0.429,0.594,0.658,0.749,0.795,0.826,0.872,0.9,0.913,0.913,0.922,0.936,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959
bookkeeper-4.2.0,0.415,0.623,0.717,0.774,0.83,0.887,0.906,0.943,0.962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bookkeeper-4.4.0,0.484,0.613,0.71,0.806,0.839,0.871,0.871,0.871,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935
calcite-1.8.0,0.507,0.664,0.755,0.798,0.839,0.865,0.884,0.897,0.904,0.913,0.937,0.951,0.958,0.96,0.966,0.968,0.968,0.968,0.968,0.968
calcite-1.11.0,0.496,0.657,0.752,0.794,0.833,0.861,0.883,0.897,0.905,0.925,0.935,0.946,0.958,0.962,0.964,0.964,0.964,0.964,0.964,0.964
calcite-1.13.0,0.489,0.657,0.747,0.794,0.839,0.857,0.874,0.886,0.899,0.922,0.933,0.939,0.946,0.951,0.962,0.962,0.962,0.962,0.962,0.962
calcite-1.15.0,0.496,0.657,0.738,0.785,0.825,0.854,0.874,0.889,0.894,0.906,0.923,0.931,0.938,0.943,0.948,0.951,0.951,0.951,0.951,0.951
calcite-1.16.0,0.496,0.668,0.745,0.79,0.825,0.846,0.87,0.883,0.891,0.905,0.923,0.931,0.939,0.942,0.944,0.95,0.95,0.95,0.95,0.95
calcite-1.17.0,0.479,0.663,0.744,0.791,0.827,0.864,0.883,0.889,0.9,0.916,0.928,0.936,0.942,0.947,0.953,0.955,0.955,0.955,0.955,0.955
calcite-1.18.0,0.485,0.674,0.757,0.801,0.847,0.867,0.884,0.894,0.9,0.917,0.924,0.934,0.937,0.944,0.95,0.95,0.95,0.95,0.95,0.95
cassandra-0.8.6,0.343,0.505,0.576,0.635,0.684,0.73,0.784,0.811,0.835,0.87,0.892,0.905,0.911,0.911,0.911,0.911,0.911,0.911,0.911,0.911
cassandra-1.0.9,0.317,0.484,0.575,0.631,0.694,0.738,0.782,0.825,0.861,0.889,0.909,0.929,0.929,0.937,0.937,0.937,0.937,0.937,0.937,0.937
cassandra-1.1.6,0.389,0.514,0.603,0.619,0.684,0.745,0.785,0.814,0.858,0.891,0.923,0.939,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
cassandra-1.1.11,0.342,0.526,0.612,0.645,0.711,0.757,0.809,0.816,0.842,0.882,0.914,0.947,0.961,0.961,0.961,0.961,0.961,0.961,0.961,0.961
cassandra-1.2.11,0.362,0.493,0.667,0.667,0.725,0.754,0.826,0.855,0.913,0.949,0.964,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978,0.978
flink-1.6.0,0.526,0.744,0.795,0.821,0.872,0.91,0.923,0.923,0.923,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974
groovy-1.5.5,0.39,0.576,0.661,0.695,0.797,0.797,0.864,0.864,0.898,0.915,0.915,0.932,0.949,0.949,0.966,0.966,0.966,0.966,0.966,0.966
groovy-1.6.0,0.394,0.551,0.63,0.693,0.74,0.772,0.835,0.882,0.906,0.921,0.937,0.937,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953
groovy-1.7.3,0.405,0.523,0.622,0.667,0.757,0.811,0.82,0.856,0.892,0.919,0.919,0.928,0.946,0.955,0.955,0.955,0.955,0.955,0.955,0.955
groovy-1.7.6,0.426,0.556,0.574,0.611,0.722,0.796,0.833,0.852,0.852,0.87,0.907,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926
groovy-1.8.1,0.489,0.588,0.634,0.71,0.756,0.817,0.84,0.87,0.893,0.908,0.931,0.939,0.954,0.954,0.954,0.962,0.962,0.962,0.962,0.962
groovy-1.8.7,0.5,0.611,0.667,0.722,0.806,0.833,0.889,0.917,0.917,0.944,0.944,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972
groovy-2.1.0,0.438,0.591,0.708,0.781,0.847,0.898,0.949,0.964,0.978,0.978,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
groovy-2.1.6,0.5,0.661,0.768,0.821,0.875,0.893,0.946,0.964,0.964,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982
groovy-2.4.4,0.393,0.54,0.635,0.687,0.725,0.749,0.796,0.829,0.867,0.896,0.915,0.934,0.943,0.957,0.962,0.962,0.962,0.962,0.962,0.962
groovy-2.4.6,0.415,0.537,0.622,0.695,0.75,0.762,0.805,0.841,0.884,0.909,0.915,0.939,0.945,0.957,0.963,0.963,0.963,0.963,0.963,0.963
groovy-2.4.8,0.407,0.549,0.626,0.714,0.802,0.802,0.824,0.835,0.868,0.901,0.923,0.934,0.934,0.967,0.967,0.967,0.967,0.967,0.967,0.967
groovy-2.5.0,0.545,0.69,0.766,0.814,0.848,0.883,0.89,0.897,0.924,0.931,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959
groovy-2.5.5,0.552,0.714,0.8,0.838,0.876,0.905,0.914,0.914,0.933,0.943,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962,0.962
hbase-0.94.5,0.427,0.577,0.618,0.722,0.763,0.809,0.838,0.867,0.892,0.905,0.905,0.917,0.934,0.938,0.946,0.946,0.946,0.946,0.946,0.946
hbase-0.98.0,0.391,0.544,0.665,0.73,0.771,0.813,0.848,0.864,0.87,0.876,0.897,0.911,0.927,0.933,0.935,0.935,0.935,0.935,0.935,0.935
hbase-0.98.5,0.378,0.514,0.63,0.711,0.762,0.808,0.841,0.865,0.868,0.881,0.908,0.911,0.93,0.932,0.938,0.938,0.938,0.938,0.938,0.938
hbase-0.98.11,0.423,0.544,0.665,0.728,0.778,0.828,0.849,0.874,0.887,0.9,0.925,0.933,0.946,0.95,0.958,0.958,0.958,0.958,0.958,0.958
hive-1.2.0,0.462,0.602,0.71,0.763,0.796,0.828,0.914,0.914,0.935,0.935,0.957,0.957,0.968,0.978,0.978,0.978,0.978,0.978,0.978,0.978
hive-2.0.0,0.536,0.643,0.732,0.821,0.929,0.929,0.929,0.946,0.946,0.946,0.946,0.964,0.964,0.964,0.964,0.964,0.964,0.964,0.964,0.964
hive-2.1.0,0.514,0.632,0.701,0.776,0.847,0.882,0.91,0.916,0.935,0.947,0.95,0.956,0.963,0.969,0.975,0.975,0.975,0.975,0.975,0.975
ignite-1.4.0,0.468,0.61,0.688,0.737,0.787,0.821,0.849,0.873,0.896,0.923,0.927,0.937,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938
ignite-1.6.0,0.5,0.625,0.699,0.743,0.797,0.833,0.857,0.88,0.905,0.921,0.947,0.959,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
log4j2-2.1,0.29,0.482,0.561,0.643,0.722,0.749,0.773,0.8,0.808,0.827,0.835,0.839,0.855,0.863,0.867,0.867,0.867,0.867,0.867,0.867
log4j2-2.2,0.291,0.48,0.566,0.643,0.721,0.75,0.775,0.795,0.799,0.828,0.836,0.84,0.857,0.865,0.869,0.869,0.869,0.869,0.869,0.869
log4j2-2.3,0.279,0.468,0.571,0.665,0.738,0.76,0.785,0.803,0.807,0.837,0.845,0.85,0.858,0.867,0.871,0.871,0.871,0.871,0.871,0.871
log4j2-2.4,0.28,0.47,0.585,0.686,0.758,0.788,0.788,0.805,0.814,0.835,0.864,0.877,0.881,0.886,0.886,0.886,0.886,0.886,0.886,0.886
log4j2-2.5,0.286,0.473,0.595,0.677,0.741,0.782,0.8,0.827,0.836,0.841,0.85,0.864,0.868,0.873,0.873,0.873,0.873,0.873,0.873,0.873
log4j2-2.6,0.378,0.594,0.668,0.756,0.802,0.811,0.843,0.857,0.88,0.889,0.889,0.889,0.894,0.899,0.899,0.899,0.899,0.899,0.899,0.899
log4j2-2.7,0.376,0.584,0.688,0.769,0.828,0.828,0.851,0.86,0.887,0.9,0.91,0.91,0.919,0.919,0.919,0.919,0.919,0.919,0.919,0.919
log4j2-2.8,0.367,0.602,0.697,0.787,0.833,0.842,0.86,0.873,0.882,0.891,0.891,0.905,0.914,0.923,0.928,0.928,0.928,0.928,0.928,0.928
log4j2-2.9,0.405,0.679,0.777,0.847,0.856,0.856,0.865,0.874,0.879,0.879,0.884,0.884,0.902,0.912,0.912,0.912,0.912,0.912,0.912,0.912
log4j2-2.10,0.429,0.658,0.772,0.817,0.836,0.836,0.854,0.858,0.868,0.868,0.868,0.868,0.886,0.886,0.895,0.895,0.895,0.895,0.895,0.895
mahout-0.4,0.359,0.479,0.581,0.632,0.692,0.726,0.786,0.821,0.846,0.855,0.863,0.863,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
mahout-0.5,0.298,0.447,0.511,0.574,0.617,0.628,0.734,0.766,0.798,0.798,0.798,0.798,0.84,0.851,0.851,0.851,0.851,0.851,0.851,0.851
mahout-0.6,0.414,0.55,0.613,0.703,0.721,0.748,0.775,0.802,0.829,0.847,0.847,0.856,0.874,0.874,0.874,0.874,0.874,0.874,0.874,0.874
mahout-0.7,0.438,0.59,0.667,0.743,0.762,0.781,0.8,0.848,0.876,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895
mahout-0.8,0.517,0.633,0.667,0.717,0.733,0.767,0.783,0.817,0.833,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
mng-3.1.0,0.414,0.563,0.655,0.736,0.816,0.851,0.874,0.885,0.897,0.908,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943
mng-3.2.0,0.462,0.615,0.681,0.769,0.835,0.868,0.89,0.912,0.912,0.923,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956
mng-3.3.0,0.465,0.648,0.676,0.746,0.859,0.887,0.915,0.93,0.93,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
mng-3.5.0,0.405,0.643,0.714,0.762,0.81,0.857,0.881,0.881,0.881,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905
mng-3.6.0,0.344,0.531,0.688,0.719,0.75,0.781,0.812,0.844,0.844,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
nifi-1.2.0,0.44,0.586,0.676,0.775,0.818,0.852,0.901,0.918,0.929,0.94,0.944,0.953,0.959,0.968,0.968,0.97,0.97,0.97,0.97,0.97
nifi-1.5.0,0.444,0.597,0.697,0.764,0.814,0.866,0.902,0.924,0.936,0.945,0.947,0.952,0.957,0.962,0.971,0.971,0.971,0.974,0.974,0.974
nifi-1.8.0,0.48,0.616,0.718,0.774,0.817,0.864,0.898,0.907,0.91,0.929,0.935,0.935,0.938,0.947,0.954,0.954,0.954,0.957,0.957,0.957
nutch-1.3,0.291,0.466,0.515,0.583,0.602,0.641,0.68,0.738,0.767,0.806,0.816,0.825,0.825,0.845,0.845,0.845,0.845,0.845,0.845,0.845
nutch-1.4,0.263,0.475,0.525,0.586,0.616,0.646,0.667,0.727,0.758,0.808,0.818,0.818,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859
nutch-1.5,0.273,0.475,0.525,0.586,0.606,0.646,0.687,0.717,0.758,0.818,0.818,0.818,0.828,0.838,0.838,0.838,0.838,0.838,0.838,0.838
nutch-1.6,0.256,0.5,0.567,0.611,0.644,0.689,0.733,0.767,0.811,0.822,0.822,0.822,0.822,0.867,0.867,0.867,0.867,0.867,0.867,0.867
nutch-1.7,0.227,0.477,0.557,0.591,0.636,0.682,0.727,0.75,0.795,0.795,0.807,0.841,0.841,0.852,0.852,0.852,0.852,0.852,0.852,0.852
nutch-1.8,0.23,0.473,0.541,0.581,0.608,0.635,0.716,0.73,0.77,0.784,0.797,0.824,0.824,0.838,0.851,0.851,0.851,0.851,0.851,0.851
nutch-1.9,0.246,0.523,0.569,0.646,0.723,0.754,0.785,0.8,0.846,0.846,0.862,0.892,0.892,0.908,0.908,0.908,0.908,0.908,0.908,0.908
nutch-1.10,0.435,0.6,0.635,0.682,0.718,0.8,0.835,0.859,0.871,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894,0.894
nutch-1.12,0.404,0.576,0.636,0.667,0.707,0.788,0.828,0.838,0.889,0.909,0.919,0.919,0.919,0.929,0.929,0.929,0.929,0.929,0.929,0.929
nutch-1.13,0.379,0.547,0.653,0.695,0.747,0.8,0.853,0.874,0.905,0.905,0.926,0.947,0.947,0.968,0.968,0.968,0.968,0.968,0.968,0.968
nutch-1.14,0.473,0.676,0.743,0.784,0.797,0.824,0.851,0.878,0.905,0.932,0.932,0.932,0.959,0.973,0.973,0.973,0.973,0.973,0.973,0.973
nutch-1.15,0.5,0.667,0.759,0.815,0.852,0.889,0.926,0.944,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981,0.981
storm-0.9.3,0.349,0.512,0.581,0.628,0.721,0.814,0.814,0.814,0.814,0.814,0.953,0.953,0.953,0.977,0.977,0.977,0.977,0.977,0.977,0.977
storm-1.0.0,0.372,0.541,0.617,0.71,0.776,0.842,0.896,0.923,0.934,0.94,0.94,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945
storm-1.0.3,0.529,0.706,0.765,0.882,0.941,0.941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
storm-1.0.5,0.4,0.6,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tika-0.8,0.327,0.422,0.565,0.66,0.714,0.748,0.789,0.823,0.837,0.85,0.857,0.878,0.898,0.905,0.912,0.912,0.912,0.912,0.912,0.912
tika-0.9,0.286,0.44,0.601,0.661,0.72,0.786,0.815,0.827,0.833,0.839,0.851,0.875,0.887,0.893,0.899,0.899,0.899,0.899,0.899,0.899
tika-0.10,0.33,0.458,0.587,0.637,0.687,0.737,0.754,0.782,0.799,0.804,0.816,0.821,0.883,0.894,0.894,0.894,0.894,0.894,0.894,0.894
tika-1.1,0.356,0.481,0.606,0.662,0.713,0.744,0.762,0.787,0.812,0.812,0.825,0.85,0.869,0.875,0.887,0.887,0.887,0.887,0.887,0.887
tika-1.3,0.405,0.563,0.639,0.709,0.728,0.772,0.778,0.823,0.842,0.842,0.842,0.88,0.892,0.899,0.899,0.899,0.899,0.899,0.899,0.899
tika-1.5,0.377,0.558,0.63,0.701,0.766,0.818,0.831,0.851,0.864,0.87,0.87,0.903,0.916,0.916,0.922,0.922,0.922,0.922,0.922,0.922
tika-1.7,0.383,0.53,0.611,0.671,0.705,0.772,0.799,0.805,0.832,0.866,0.866,0.879,0.893,0.899,0.899,0.899,0.899,0.899,0.899,0.899
tika-1.10,0.359,0.476,0.606,0.718,0.747,0.794,0.8,0.829,0.841,0.859,0.865,0.871,0.894,0.9,0.906,0.906,0.906,0.906,0.906,0.906
tika-1.13,0.383,0.45,0.564,0.664,0.725,0.779,0.779,0.839,0.846,0.866,0.872,0.872,0.899,0.899,0.899,0.906,0.906,0.906,0.906,0.906
tika-1.15,0.411,0.532,0.653,0.718,0.782,0.823,0.823,0.855,0.871,0.879,0.879,0.879,0.895,0.895,0.895,0.895,0.895,0.895,0.895,0.895
tika-1.17,0.417,0.478,0.635,0.687,0.757,0.809,0.809,0.861,0.878,0.878,0.887,0.887,0.904,0.904,0.904,0.904,0.904,0.904,0.904,0.904
ww-2.0.5,0.372,0.5,0.638,0.702,0.766,0.83,0.846,0.872,0.91,0.926,0.952,0.957,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963
ww-2.0.10,0.402,0.534,0.678,0.724,0.782,0.839,0.862,0.914,0.937,0.96,0.971,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977
ww-2.1.1,0.391,0.538,0.658,0.707,0.788,0.848,0.88,0.908,0.946,0.962,0.973,0.984,0.984,0.989,0.989,0.989,0.989,0.989,0.989,0.989
ww-2.1.3,0.354,0.514,0.641,0.691,0.757,0.829,0.862,0.895,0.934,0.95,0.956,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972
ww-2.1.7,0.411,0.554,0.673,0.72,0.786,0.857,0.881,0.905,0.94,0.952,0.958,0.976,0.976,0.982,0.982,0.982,0.982,0.982,0.982,0.982
ww-2.2.0,0.401,0.529,0.634,0.7,0.762,0.815,0.828,0.855,0.894,0.912,0.925,0.947,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956
ww-2.2.2,0.402,0.539,0.648,0.708,0.763,0.799,0.826,0.845,0.877,0.9,0.932,0.941,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
ww-2.3.1,0.401,0.55,0.658,0.728,0.777,0.837,0.842,0.847,0.881,0.926,0.936,0.946,0.95,0.955,0.955,0.955,0.955,0.955,0.955,0.955
ww-2.3.4,0.399,0.556,0.662,0.737,0.798,0.848,0.854,0.864,0.889,0.934,0.949,0.955,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
ww-2.3.10,0.42,0.562,0.657,0.734,0.787,0.811,0.834,0.852,0.87,0.899,0.929,0.941,0.947,0.953,0.953,0.953,0.953,0.953,0.953,0.953
ww-2.3.15,0.399,0.559,0.664,0.713,0.755,0.804,0.832,0.853,0.867,0.902,0.93,0.944,0.944,0.958,0.958,0.958,0.958,0.958,0.958,0.958
ww-2.3.17,0.402,0.573,0.684,0.718,0.769,0.821,0.838,0.855,0.872,0.906,0.915,0.94,0.949,0.957,0.957,0.957,0.957,0.957,0.957,0.957
ww-2.3.20,0.472,0.639,0.741,0.759,0.806,0.852,0.87,0.88,0.898,0.926,0.926,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954,0.954
ww-2.3.24,0.457,0.649,0.745,0.766,0.787,0.851,0.872,0.883,0.904,0.936,0.936,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968
zookeeper-3.5.1,0.375,0.588,0.675,0.738,0.775,0.812,0.875,0.9,0.9,0.912,0.912,0.912,0.912,0.925,0.925,0.925,0.925,0.925,0.925,0.925
zookeeper-3.5.2,0.4,0.583,0.667,0.75,0.783,0.817,0.867,0.9,0.9,0.917,0.917,0.917,0.917,0.933,0.933,0.933,0.933,0.933,0.933,0.933
zookeeper-3.5.3,0.45,0.575,0.675,0.75,0.775,0.825,0.85,0.9,0.9,0.925,0.925,0.925,0.925,0.95,0.95,0.95,0.95,0.95,0.95,0.95
